# AutoGraphForge survivors, ranked by touch number
# NORMALISED: restatements collapsed.
# A conjecture and its algebraic rearrangement are one
# claim, not two: `b <= r + 1` and `b - 1 <= r` differ by
# moving a constant across the relation, `t <= 3d` and
# `(1/3)t <= d` by clearing a denominator. Both normalise
# to a single canonical body. They were reported twice
# because they are generated by different partitions --
# one is a bound on t, the other a bound on d -- so no
# single generator ever sees the pair.
# 82 restatement(s) removed here; each is listed
# in the trailing section with the form that was kept.
# 6522 survivors; 2677 carry a recomputed (hypothesis-aware) touch count.
# Format:  [touch] statement    -- verdict

## Ranked by touch (2595)

[  4611] (nontrivial) ⇒ domination_number ≤ independent_domination_number    -- trivial:known
[  4509] (nontrivial) ⇒ clique_number ≤ chromatic_number    -- trivial:known
[  4157] (nontrivial) ⇒ independence_number ≤ vertex_clique_cover_number    -- promising:universal
[  3750] (nontrivial) ⇒ slater ≤ domination_number    -- trivial:known
[  3381] (nontrivial) ⇒ domination_number ≤ restrained_domination_number    -- trivial:known
[  3323] (nontrivial) ⇒ slater ≤ independent_domination_number    -- trivial:known
[  3116] (nontrivial) ⇒ 2 ≤ sub_total_domination_number    -- promising:universal
[  3107] (nontrivial) ⇒ positive_semidefinite_zero_forcing_number ≤ zero_forcing_number    -- trivial:known
[  3074] (nontrivial) ⇒ roman_domination_number ≤ (2 · domination_number)    -- trivial:known
[  2975] (nontrivial) ⇒ zero_forcing_number ≤ total_zero_forcing_number    -- trivial:known
[  2922] (nontrivial) ⇒ sub_total_domination_number ≤ total_domination_number    -- trivial:known
[  2905] (nontrivial) ⇒ 1 ≤ power_domination_number    -- promising:universal
[  2902] (nontrivial) ⇒ zero_forcing_number ≤ connected_zero_forcing_number    -- trivial:known
[  2902] ((nontrivial) ∧ (connected)) ⇒ zero_forcing_number ≤ connected_zero_forcing_number    -- trivial:known
[  2887] (nontrivial) ⇒ double_roman_domination_number ≤ (3 · domination_number)    -- trivial:known
[  2860] ((nontrivial) ∧ (connected)) ⇒ burning_number ≤ (slater + 1)    -- promising:class
[  2767] (nontrivial) ⇒ burning_number ≤ (radius + 1)    -- promising:universal
[  2697] (nontrivial) ⇒ domination_number ≤ outer_connected_domination_number    -- trivial:known
[  2652] (nontrivial) ⇒ slater ≤ sub_total_domination_number    -- trivial:known
[  2512] (nontrivial) ⇒ matching_number ≤ vertex_cover_number    -- trivial:known
[  2394] ((nontrivial) ∧ (chordal)) ⇒ chromatic_number ≤ clique_number    -- trivial:known
[  2375] (nontrivial) ⇒ burning_number ≤ (domination_number + 1)    -- promising:universal
[  2337] ((nontrivial) ∧ (chordal)) ⇒ vertex_clique_cover_number ≤ independence_number    -- trivial:known
[  2294] ((nontrivial) ∧ (connected)) ⇒ ((2 · burning_number) + -2) ≤ roman_domination_number    -- promising:class
[  2234] ((nontrivial) ∧ (connected)) ⇒ ((3 · burning_number) + -3) ≤ double_roman_domination_number    -- promising:class
[  2219] (nontrivial) ⇒ well_splitting_number ≤ positive_semidefinite_zero_forcing_number    -- promising:universal
[  2212] (nontrivial) ⇒ 2 ≤ total_domination_number    -- promising:universal
